company_id,cast_id,crew_id,theatre_id,name,theatre,description,theatre_company,start_date,end_date,photo,language,coming soon,closed,has_Trailer,keywords
,,,,The Woman in Black,Fortune Theatre,,Ambassador Theatre Group,08/01/1989,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Kinky Boots,Adelphi Theatre,,Really Useful Theatres / Nederlander Organization,,,,,,,,
,,,,Tina[19],Aldwych Theatre,,Nederlander Organization,,,,,,,,
,,,,All or Nothing[20],Ambassadors Theatre,,Stephen Waley-Cohen,,,,,,,,
,,,,Everybody’s Talking About Jamie[22],Apollo Theatre,,Nimax Theatres,,,,,,,,
,,,,Wicked,Apollo Victoria Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,Ruthless!,Arts Theatre,,JJ Goodman Ltd.,,,,,,,,
,,,,Matilda the Musical,Cambridge Theatre,,Really Useful Theatres,,,,,,,,
,,,,The Comedy About a Bank Robbery,Criterion Theatre,,Criterion Theatre Trust,,,,,,,,
,,,,Bat Out of Hell The Musical[25],Dominion Theatre,,Nederlander Organization,,,,,,,,
,,,,The Play That Goes Wrong,Duchess Theatre,,Nimax Theatres,,,,,,,,
,,,,The Moderate Soprano[27],Duke of York's Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,The Woman in Black,Fortune Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,Young Frankenstein[29],Garrick Theatre,,Nimax Theatres,,,,,,,,
,,,,The Ferryman[30],Gielgud Theatre,,Delfont Mackintosh Theatres,,,,,,,,
,,,,Cirque Berserk,Harold Pinter Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,The Phantom of the Opera,Her Majesty's Theatre,,Really Useful Theatres,,,,,,,,
,,,,The King and I[31],London Palladium,,Really Useful Theatres,,,,,,,,
,,,,The Lion King,Lyceum Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,Thriller – Live,Lyric Theatre,,Nimax Theatres,,,,,,,,
,,,,School of Rock,New London Theatre,,Really Useful Theatres,,,,,,,,
,,,,Quiz[33],Noël Coward Theatre,,Delfont Mackintosh Theatres,,,,,,,,
,,,,Mamma Mia!,Novello Theatre,,Delfont Mackintosh Theatres,,,,,,,,
,,,,Harry Potter and the Cursed Child,Palace Theatre,,Nimax Theatres,,,,,,,,
,,,,Chicago[35],Phoenix Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,Strictly Ballroom[36],Piccadilly Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,The Best Man[37],Playhouse Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,Aladdin,Prince Edward Theatre,,Delfont Mackintosh Theatres,,,,,,,,
,,,,The Book of Mormon,Prince of Wales Theatre,,Delfont Mackintosh Theatres,,,,,,,,
,,,,Les Misérables,Queen's Theatre,,Delfont Mackintosh Theatres,,,,,,,,
,,,,Dreamgirls,Savoy Theatre,,Ambassador Theatre Group,,,,,,,,
,,,,Motown: The Musical,Shaftesbury Theatre,,The Theatre of Comedy Company,,,,,,,,
,,,,The Mousetrap,St Martin's Theatre,,Stephen Waley-Cohen,,,,,,,,
,,,,42nd Street,"Theatre Royal, Drury Lane",,Really Useful Theatres,,,,,,,,
,,,,Tartuffe[38],Theatre Royal Haymarket,,Crown Estate,,,,,,,,
,,,,Killer Joe[39],Trafalgar Studios,,Trafalgar Entertainment Group,,,,,,,,
,,,,An Ideal Husband[41],Vaudeville Theatre,,Nimax Theatres,,,,,,,,
,,,,Hamilton,Victoria Palace Theatre,,Delfont Mackintosh Theatres,,,,,,,,
,,,,Red[42],Wyndham's Theatre,,Delfont Mackintosh Theatres,,,,,,,,
